Number,Folder/Project,Name
WIPS-0001,Shipping,Shipping Volume Forecast
WIPS-0002,Warehouse,Loaders Lineup
WIPS-0003,Shipping,Packing List / Shipping Notice
WIPS-0004,Shipping,Truck Lineup
WIPS-0005,Shipping,Hazardous Material Shipping Paper
WIPS-0006,,Orders to be Invoiced
WIPS-0007,WIPS_reports,Shipping Payroll Summary
WIPS-0008,Shipping,Pickup/Delivery Report
WIPS-0009,WIPS_reports,Team Audit Inquiry
WIPS-0010,WIPS_reports,Truck Loading Inquiry
WIPS-0011,WIPS_reports,Team Loading Inquiry
WIPS-0012,Invoicing,Freight Recovery Report
WIPS-0013,Invoicing,Freight Discount Report
WIPS-0014,Invoicing,Invoiced Dollars Report
WIPS-0015,ShippingPastDueOrders,Shipping Past Due Orders Report by Territory
WIPS_0016,ShippingPastDueOrders,Shipping Past Due Orders Report-multiple param's
WIPS_0017,ShippingPastDueOrders,Shipping Past Due Summary Report
WIPS_0018,Shipping,Shipping - Past Due Orders
WIPS_0019,Warehouse,Warehouse Clearing Report
WIPS_0020,Shipping,Orders Not Assigned to a Truck
WIPS_0021,Invoicing,Invoiced Shipping Charges Report
WIPS_0022,Invoicing,Invoiced Sample Orders
WIPS_0023,Invoicing,Different States Tax report
WIPS_0024,Warehouse,Order Items Remaining at Tracking Point 50 For More Than 3 Days
WIPS_0025,,FedEx Items Remaining at Tracking Point 49 For More Than 3 Days
WIPS_0026,Purchasing,Decorative Purchased Parts Requirements
WIPS_0027,NormalizedReference,Missing Cabinet Codes Report
WIPS_0028,IS USE ONLY,Connx Schedule Import Status
WIPS_0029,Invoicing,RightFax Daily Report
WIPS_0030,Invoicing,RightFax Selected Document Report
WIPS_0031,Sales,Option Sales YTD
WIPS_0032,Sales,Invoiced Display Orders
WIPS_0033,Sales,Cabinet Sales YTD
WIPS_0034,Accounting,BH Sample Shop Report
WIPS_0035,Accounting,WM Sample Shop Report
WIPS_0036,ManufacturingEngineering,Replacement Order Ship Cost
WIPS_0037,Invoicing,Sales Aids Report
WIPS_0038,Sales,SalesByConstructionTypeAndLine
WIPS_0039,Sales,SalesByConstructionType
WIPS_0040,Sales,SalesByCabinetType
WIPS_0041,Sales,SalesByOptionCode
WIPS_0042,Sales,SalesByFinishedSide
WIPS_0043,Sales,DisplayOrdersInvoiced
WIPS_0044,Sales,DisplayOrdersOpen
WIPS_0045,Audit,OnlineStockOrdersAudit
